SMILE,IC50,Source
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CN(N=C5)CCN6CCOCC6)C(=O)N,1,Pubchem
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CC=NC=C5)C(=O)N,1,Pubchem
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CC(=NC=C5)N)C(=O)N,1,Pubchem
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CC(=NC=C5)NC6CCN(CC6)C)C(=O)N,1,Pubchem
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CN(N=C5)C)C(=O)N,1,Pubchem
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CC(=NC=C5)NCCS(=O)(=O)C)C(=O)N,1,Pubchem
C[C@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CN(N=C5)CCN6CCN(CC6)C)C(=O)N,1,Pubchem
CC1=NC=CC(=C1)C2=CC3=C(C=C2)N(C=N3)C4=CC(=C(S4)C(=O)N)O[C@H](C)C5=CC=CC=C5C(F)(F)F,1,Pubchem
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CN=C(N=C5)N)C(=O)N,1,Pubchem
CCN1CCN(CC1)CCCN2C=C(C=N2)C3=CC4=C(C=C3)N(C=N4)C5=CC(=C(S5)C(=O)N)O[C@H](C)C6=CC=CC=C6Cl,1,Pubchem
C[C@H](C1=CC=CC=C1C(F)(F)F)OC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C5=CC=NC=C5)C(=O)N,1,Pubchem
CN(C)CCCC1=CC(=CC(=C1)Cl)NC2=NC=C3CC(=S)NC4=C(C3=N2)C=CC(=C4)Cl,1,Pubchem
CN(C)CCCC1=C(C=CC(=C1)NC2=NC=C3CC(=S)NC4=C(C3=N2)C=CC(=C4)Cl)OC,1,Pubchem
CN(C)CCCC1=CC(=C(C=C1)Cl)NC2=NC=C3CC(=S)NC4=C(C3=N2)C=CC(=C4)Cl,1,Pubchem
CN(C)CCCC1=CC(=CN=C1)NC2=NC=C3CC(=S)NC4=C(C3=N2)C=CC(=C4)Cl,1,Pubchem
CN(C)CCCC1=C(C=CC(=C1)NC2=NC=C3CC(=S)NC4=C(C3=N2)C=CC(=C4)Cl)C(F)(F)F,1,Pubchem
CN1CCC(CC1)NC(=O)C2=CC=C(C=C2)NC3=NC=C4C(=N3)N(CC(C(=O)N4C)(F)F)C5CCCC5,1,Pubchem
CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C[C@@H](C(=O)N4C)CC=C)C5CCCC5)OC,1,Pubchem
