SMILE,IC50,Source
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCCO/N=C/C2=CSC(=N2)N(C3=CC=CC=C3)C(=O)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCCN4C(=O)C)OP(=O)(O)O,164,Pubchem
CC1=C(C=C(C=C1)NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C(=O)NC3=C(N(N=C3)CC4=CC=C(C=C4)OC)N,167.4,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4=CC=C(C=C4)OCC)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,169,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=O)CCCCCCCC1=CC=CC=C1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)C)OP(=O)(O)O,170,Pubchem
CN1CCC(CC1)NC(=O)C2=CC(=C(C=C2)NC3=NC=C4C(=N3)N(C[C@](C(=O)N4C)(C=C)F)C5CCCC5)OC,170,Pubchem
CC(C)N1C(=O)C2=CN=C(N=C2N1C3=CC=CC(=N3)C(C)(C)O)NC4=CC=C(C=C4)N5CCN(CC5)C,170,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4=CC(=CC=C4)Cl)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,172,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCOCC4)OCCO)C,177,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCCCCC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)C)OP(=O)(O)O,181,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCCO/N=C/C2=CC=CC=C2C3=CC=C(C=C3)F)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCCN4C(=O)C)OP(=O)(O)O,186,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCCCCC2=C(C=CC=C2F)OC3=CC=CC(=C3)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCCN4C(=O)C)OP(=O)(O)O,188,Pubchem
CN(C)C1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=C(SC=C4)C(=O)OC)F)OC,188.5,Pubchem
CCN\1C(=O)/C(=C\NC2=CC(=CC=C2)NC(=O)C(C)(C)C)/S/C1=C(/C#N)\C(=O)NC3(CCCC3)CO,190,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=COC=C4)OC,190,Pubchem
CC(C1=CC=CC=C1C(F)(F)F)OC2=C(C=CC(=C2)N3C=NC4=C3C=C(C=C4)OC5CCN(CC5)C)C(=O)N,190,Pubchem
CC1=C(C=CC(=C1)NC2=NC=C3C(=N2)N(CC(C(=O)N3C)(F)F)C4CCCC4)C(=O)NC5CCN(CC5)C,190,Pubchem
COC1=CC=C(C=C1)/C=C/C(=O)NNC(=O)C2=CC3=C(C=C2)OCCO3,190,Pubchem
C1COC2=C(O1)C=CC(=C2)C(=O)NNC(=O)/C=C/C3=CC=CC=C3[N+](=O)[O-],190,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=COC=C4)OC,190,Pubchem
C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,192,Pubchem
CC(=O)C1=CC=C(C=C1)NC2=NC=C3CCC4=C(C3=N2)N(N=C4C(=O)N)C,197,Pubchem
CN1CCC(CC1)NC2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,200,Pubchem
COC1=C(C=C(C=C1)NC2=NC=C3CC(=O)NC4=C(C3=N2)C=CC(=C4)F)OC,200,Pubchem
C[C@H]([C@H]1C(=O)N2[C@@H](CC[C@H]2OCCNC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N1)CO)NC(=O)C3=CC(=CC(=C3)OCC(C)C)OCC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)OC)OP(=O)(O)O,200,Pubchem
CN1CCN([C@@H](C1)CO)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,201,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC(=CC(=C4)C5=CC=CC=C5NC(=O)C)Cl,207,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC(=CC(=C4)C5=CC=CC=C5NC(=O)C)Cl,207,Pubchem
CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)C(F)(F)F)C,210,Pubchem
C[C@H](C1=C(C=C(C=C1)CNC(C)(C)C)C2CC2)OC3=C(SC(=C3)C4=CN=C5N4C=CC=C5)C(=O)N,210,Pubchem
C[C@@H](C1=CC=CC=C1)NC2=NC=C3C(=C2)C(=NO3)C4=CC5=C(C=C4)OCO5,214,Pubchem
C[C@@H](C1=CC=CC=C1)NC2=NC=C3C(=C2)C(=NO3)C4=CC5=C(C=C4)OCO5,214,Pubchem
CC(C)C[C@@H]1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCN(CC4)C)OC)C,218,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCCCCC2=CC=C(C=C2)CCO)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)C)OP(=O)(O)O,218,Pubchem
CC1=CSC(=C1NC2=NC(=NC=C2[N+](=O)[O-])NC3=C(C=C4CCN(C4=C3)C(=O)CN(C)C)OC)C(=O)OC,219,Pubchem
C1=CC(=C(C2=C1N=C(S2)N)N)[N+](=O)[O-],220,Pubchem
C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,222,Pubchem
CN1CCC(CC1)C(=O)NC2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,224,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC(=CC=C4)S(=O)(=O)C,225,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC(=CC=C4)S(=O)(=O)C,225,Pubchem
CCC1(CCC2=C1N=C(C=C2)N3C4=NC(=NC=C4C(=O)N3CC=C)NC5=CC=C(C=C5)N6CCN(CC6)C)O,227,Pubchem
CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](C)C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCCN4C(=O)C,230,Pubchem
CCC1=C(C(=CC=C1)CC)NC(=O)C2=NN(C3=C2CCC4=CN=C(N=C43)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,237,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCO/N=C/C2=CN=C(S2)N(C)CC3=CC=CC=C3)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCCN4C(=O)C)OP(=O)(O)O,244,Pubchem
C1CC2=C(NN=C2C3=NC(=NC=C31)NC4=CC=CC=C4)C(=O)N,248,Pubchem
CS(=O)(=O)C1=CC2=C(C=C1)N(C=N2)C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F,250,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1CCC(F)(F)F)N3C=CN=C3C4=CC=CC=C4)C,250,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCOCC3)C4=C(NN=C4)C5=NC=CS5)C,250,Pubchem
CS(=O)(=O)C1=CC2=C(C=C1)N(C=N2)C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F,250,Pubchem
CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2C)NC4=CC=C(C=C4)N5CCN(CC5)C)O,250,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4CCCO4)OC,251,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4CCCO4)OC,251.19,Pubchem
CN1C2=C(CCC3=CN=C(N=C32)NC4=CC=C(C=C4)OC)C(=N1)C(=O)N,256,Pubchem
CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4CC(=O)NC5=C(C4=N3)C=CC(=C5)Cl,260,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4=CSC=C4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,266,Pubchem
C[C@H](CC(=O)N[C@@H](C1=CN=CS1)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@@H](C)OP(=O)(O)O)C(=O)N)NC(=O)C2=CC=C(C=C2)CO,267,Pubchem
CCN\1C(=O)/C(=C\NC2=CC=CC=C2)/S/C1=C(/C#N)\C(=O)N3CCCC3,270,Pubchem
CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=CC(=N3)C4=CC(=CN4CCOC5CCCCO5)C(=O)N,272,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC(=CC(=C4)Br)Cl,274,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC(=CC(=C4)Br)Cl,274,Pubchem
CN1C2=C(CCC3=CN=C(N=C32)NC4=CC=CC=C4OC5=CC=CC=C5)C(=N1)C(=O)N,278,Pubchem
CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)CCCN(C)C,279,Pubchem
CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC(=CC=C3)Cl)C,282,Pubchem
CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(=O)N)C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H]([C@@H](C)OP(=O)(O)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC2=CN=CN2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)[C@@H]4CCCN4C(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)C,283.3,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4=CC=C(C=C4)F)NC5=C(C=C(C=C5)C(=O)NN6CCN(CC6)C)OC)C,284,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)N4C=CC5=C4C=CC(=C5)C(=O)N)C,284.2,Pubchem
C1COCCN1C2=CC=CC(=C2)NC3=NC=C4CC(=O)NC5=C(C4=N3)C=CC(=C5)Cl,290,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1CC3=CC=CC=C3)NC4=C(C=C(C=C4)C5CCN(CC5)C)OCC)C,290,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCCC5)OC)CCO,291.6,Pubchem
COC1=NC=C2C=C3C=NC=CC3=C(C2=N1)[N+](=O)[O-],294,Pubchem
CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC(=C(C=C3)OC)OC)C,295,Pubchem
CC1=C2C=NC(=NN2C(=N1)C3=CC=CC=C3)NC4=CC(=CC=C4)OC,300,Pubchem
C1=CC=C(C(=C1)COC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C(F)(F)F)C(=O)N)Br,300,Pubchem
C[C@@H](C1=CC=CC=C1Cl)OC2=C(SC(=C2)C3=CN=C4N3C=CC=C4)C(=O)N,300,Pubchem
C1=CC=C(C(=C1)COC2=C(SC(=C2)N3C=NC4=C3C=CC(=C4)C(F)(F)F)C(=O)N)Br,300,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4CCCCC4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)CCCCNC(=O)COC7=CC=CC8=C7C(=O)C(C8=O)C9CCC(=O)NC9=O)OC)C,310,Pubchem
CCCCN1C2=C(C=CC(=C2)OCC3=CC=C(C=C3)F)C4=C1C(=[N+](C=C4)CC5=CC=CC=C5)C.[Br-],310,Pubchem
C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,317.9,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN(C=N1)CCCCCCCCC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)C)OP(=O)(O)O,320,Pubchem
CCC1C(=O)N(C2=CN=C(N=C2N1C3CCC(C3)(F)F)N4C=CN=C4C5=CC=C(C=C5)F)C,320,Pubchem
CC(C)C[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCOCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,322,Pubchem
CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)F)C,325,Pubchem
CC(=O)N(C)C1=CC=CC(=C1)NC2=NC(=NC=C2C3=NNN=N3)NCCC4=CC=CS4,330,Pubchem
CC1=CC(=CC(=C1)C2=NOC3=CN=C(C=C32)N[C@@H](C)C4=CC=CC=C4)C,330,Pubchem
CC1=CC(=CC(=C1)C2=NOC3=CN=C(C=C32)N[C@@H](C)C4=CC=CC=C4)C,330,Pubchem
C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)NC1=O)NC4=CC=C(C=C4)CCCN,340,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4=CC=C(C=C4)F)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,341,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCCC5)OCCOC)C,344.7,Pubchem
CCNC(=O)/C(=C\1/N(C(=O)/C(=C\NC2=CC=CC(=C2)C(=O)NCCCN3CCCC3)/S1)CC)/C#N,345,Pubchem
CC(=O)C1=CN=C(N=C1NC2CCCC2)NC3=CC=C(C=C3)N4CCN(CC4)C,345.3,Pubchem
CC(=O)C1=CC=CC=C1NC2=NC=C3CCC4=C(C3=N2)N(N=C4C(=O)N)C,346,Pubchem
COC1=CC=C(C=C1)NC2=NC=C3CC(=O)NC4=C(C3=N2)C=CC(=C4)OC,350,Pubchem
CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O,350,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4=CC=CC=C4)NC5=C(C=C(C=C5)C(=O)NN6CCN(CC6)C)OC)C,352,Pubchem
COC1=CC2=C(C=C1)C3=NC(=NC=C3CC(=O)N2)NC4=CC(=C(C=C4)O)Cl,360,Pubchem
CC(C)C1=CC=CC=C1NC2=NC=C3CCC4=C(C3=N2)N(N=C4C(=O)N)C,365,Pubchem
C1C2=CN=C(N=C2C3=C(C=C(C=C3)Cl)NC1=O)NC4=CC=CC=C4,370,Pubchem
C[C@H]([C@H]1C(=O)NCCCCC[N+]2=CN(C(=C2)C[C@@H](C(=O)N[C@H](C(=O)N1)CO)NC(=O)C)CCCCCCCCC3=CC=CC=C3)OP(=O)(O)O,370,Pubchem
CN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)[N+](=O)[O-])C,375,Pubchem
CC1=C2C=NC(=NN2C(=N1)C3=CC=CC=C3)NC4=CC=C(C=C4)OCCN(C)C,380,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1[C@H]3CCOC3)N4C=CN=C4C5=CC=CC=C5)C,380,Pubchem
CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4C(=CN(C4=N3)C5=CC=CC(=N5)N=S(=O)(C)C)F,384,Pubchem
C1=CC(=CC(=C1)NC2=NC=NC(=N2)N)C(F)(F)F,400,Pubchem
C1=C(C(C2=C(C1[N+](=O)[O-])SC(=[N+]2[O-])C(=O)N)SC[C@@H](C(=O)O)N)SC(F)(F)F,400,Pubchem
C1=CC(=C(C2=C1N=C(S2)N)N)[N+](=O)[O-],410,Pubchem
CC1=C2C=NC(=NN2C(=N1)C3=CC(=CC=C3)C(=O)C4=CC=CC=C4)NC5=CC(=C(C(=C5)OC)OC)OC,410,Pubchem
C1CCN(CC1)CC(CN2C=C(C3=CC=CC=C32)CC(=O)O)O,410,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC=CC(=C4)C#N,412,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC=CC(=C4)C#N,412,Pubchem
CCN(CC)S(=O)(=O)C1=CC=C(C=C1)NC2=NC=C3CC(=O)NC4=C(C3=N2)C=CC(=C4)Cl,420,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4=COC=C4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,426,Pubchem
CN1C=NC=C1C2=CC(=C(S2)C(=O)N)OCC3=CC=CC=C3C(F)(F)F,430,Pubchem
CC(C)N1C2=C(CCC3=CN=C(N=C32)NC4=CC=CC=C4)C(=N1)C(=O)N,430,Pubchem
CN1C2=C(CCC3=CN=C(N=C32)NC4=CC=CC=C4C(F)(F)F)C(=N1)C(=O)N,432,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4=CC=CC=C4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,434,Pubchem
COC1=C(C=C(C=C1)NC2=NC=C3CC(=O)NC4=CC=CC=C4C3=N2)OC,450,Pubchem
C[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)OC)OC5CCCC5)C,457,Pubchem
C1=CC=NC(=C1)NC(=O)CSC2=NNC(=N2)C3=C(C=C(C=C3)Cl)Cl,460,Pubchem
CCCNS(=O)(=O)C1=CC=C(C=C1)NC2=NC=C3C(=N2)N(C(C(=O)N3C)CC)C4=NN(C=C4)C,460.1,Pubchem
CCCCNS(=O)(=O)C1=CC=C(C=C1)NC2=NC=C3C(=N2)N(C(C(=O)N3C)CC)C4=NN(C=C4)C,461.6,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC(=CC=C4)F,464,Pubchem
CC(=O)C1=C(C=CC(=C1)N2CCN(CC2)C)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,464,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC(=CC=C4)F,464,Pubchem
CN(C)CCCC1=C(C(=CC=C1)NC2=NC=C3CC(=S)NC4=C(C3=N2)C=CC(=C4)Cl)OC,470,Pubchem
C1CC1CN2C(=O)C3=C(C=CC(=C3)F)N4C2=NNC4=S,470,Pubchem
CC1=CC(=CC=C1)N2C3=CC(=NC=C3C(=N2)C)N[C@@H](C)C4=CC=CC=C4,474,Pubchem
CC1=CC(=CC=C1)N2C3=CC(=NC=C3C(=N2)C)N[C@@H](C)C4=CC=CC=C4,474,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1[C@@H]3CCOC3)N4C=CN=C4C5=CC=CC=C5)C,480,Pubchem
CCCN1C(=O)C2=CN=C(N=C2N1C3=CC=CC(=N3)C(C)(C)O)NC4=CC=C(C=C4)N5CCN(CC5)C,480,Pubchem
CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)C(=O)OC)C,488,Pubchem
CN1C2=C(CCC3=CN=C(N=C32)NC4=CC=CC=C4[N+](=O)[O-])C(=N1)C(=O)N,488,Pubchem
C1=CC(=CN=C1)CNC2=NC=C(C(=N2)NC3=CC=C(C=C3)C(F)(F)F)C4=NNN=N4,490,Pubchem
CC1=C2C=NC(=NN2C(=N1)C3=CC(=CC=C3)OC4=CC=CC=C4)NC5=CC(=C(C(=C5)OC)OC)OC,500,Pubchem
CCN\1C(=O)/C(=C\NC2=CC=C(C=C2)NC(=O)COC)/S/C1=C(/C#N)\C(=O)OCC,500,Pubchem
C1=C(C=C(C2=C1[N+](=C(S2)C(=O)N)[O-])[N+](=O)[O-])C(F)(F)F,500,Pubchem
CC(C1=CC=CC=C1C(F)(F)F)OC2=C(C=CC(=C2)C3=C(N=CC(=C3)C4=CC=C(S4)CN(C)C)N)C(=O)N,500,Pubchem
C[C@H]([C@H]1C(=O)N2[C@@H](CC[C@H]2OCCNC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N1)CO)NC(=O)C3=CC(=CC(=C3)OCC(C)C)OCCN(C)C)C(=O)N[C@@H](CC(C)C)C(=O)OC)OP(=O)(O)O,500,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4=CC=CO4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C)OC)C,505,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1C4CCCC4)NC5=C(C=C(C=C5)C(=O)NN6CCN(CC6)C)OC)C,516,Pubchem
C1COCCN1CCNC(=O)C2=CC(=CC=C2)NC3=NC=C4CC(=O)NC5=C(C4=N3)C=CC(=C5)Cl,520,Pubchem
CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C,524,Pubchem
CC1=[N+](C=CC2=C1N(C3=C2C=CC(=C3)OCC4=CC=CC=C4)CC5=CC=CC=C5)CC6=CC=CC=C6.[Br-],527,Pubchem
CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)CC5=CC=CS5,530,Pubchem
C[C@@]12[C@@H]([C@@H](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)NC)OC,540,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1CC3=CC(=CC=C3)Cl)NC4=C(C=C(C=C4)C5CCN(CC5)C)OCC)C,540,Pubchem
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1CC3=CC(=CC=C3)Br)NC4=C(C=C(C=C4)C5CCN(CC5)C)OCC)C,540,Pubchem
CC1=CC(=CC=C1)C2=NOC3=CN=C(C=C32)N[C@@H](C)C4=CC=CC=C4,549,Pubchem
CC1=CC(=CC=C1)C2=NOC3=CN=C(C=C32)N[C@@H](C)C4=CC=CC=C4,549,Pubchem
CCCN(CC1CC1)C2=NC(=NC=C2C#N)NC(C)C3=CC=CC=C3,550,Pubchem
CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)C(F)(F)F)C,552,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCCO/N=C/C2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]3CCCN3C(=O)C)OP(=O)(O)O,558,Pubchem
CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=C(C=C3)[N+](=O)[O-])C,571,Pubchem
C1[C@@H](C2=C(C=C(N2)C3=NC(=NC=C3)N)C(=O)N1)CCF,574,Pubchem
CC(C1=CC=CC=C1)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)OC)C#N,580,Pubchem
C1COC2=C(O1)C=CC(=C2)C(=O)NNC(=O)/C=C/C3=CC=C(C=C3)F,590,Pubchem
CC1=NC=C(N1CCOC(=O)NC2=CC(=C(C=C2)Cl)Cl)[N+](=O)[O-],620,Pubchem
C1=CC(=C(C(=C1)Cl)N/N=C(\C#N)/C(=O)NN)Cl,620,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)C)OP(=O)(O)O,620,Pubchem
C[C@@H](C1=CC=CC=C1)NC2=NC=C3C(=C2)C(=NO3)C4=CC(=CC=C4)Cl,625,Pubchem
C[C@@H](C1=CC=CC=C1)NC2=NC=C3C(=C2)C(=NO3)C4=CC(=CC=C4)Cl,625,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C#N)OCC4=CC=C(C=C4)S(=O)(=O)C)OC,630.96,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)O)OCC4=CC=CC=C4)OC,630.96,Pubchem
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C#N)OCC4=CC=C(C=C4)S(=O)(=O)C)OC,631,Pubchem
CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3C)C,636,Pubchem
C[C@H]([C@H]1C(=O)N2[C@@H](CC[C@H]2OCCNC(=O)CC[C@@H](C(=O)N[C@H](C(=O)N1)CO)NC(=O)C3=CC(=CC=C3)OCC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)OC)OP(=O)(O)O,640,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC(=CC(=C4)Cl)Cl,641,Pubchem
CC1=NN(C2=CC(=NC=C12)N[C@@H](C)C3=CC=CC=C3)C4=CC(=CC(=C4)Cl)Cl,641,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCCCNC(=O)CCCCCC1=CC=CC=C1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C(=O)C)OP(=O)(O)O,650,Pubchem
COC1=CC(=CC(=C1OC)OC)C2C3CC(CCC3NN2)/C=C(\C#N)/C(=O)N,650,Pubchem
CNC(=O)/C(=C/C1CCC2C(C1)C(NN2)C3=CC(=C(C(=C3)OC)OC)OC)/C#N,650,Pubchem
CC[C@@H]1C2=NN=C(N2C3=CN=C(N=C3N1CC4CCCCC4)NC5=C(C=C(C=C5)C(=O)NC6CCN(CC6)C(=O)CCCCCCC(=O)NC7=CC=CC8=C7CN(C8=O)C9CCC(=O)NC9=O)OC)C,652,Pubchem
C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CN=CN1CCCCCCO/N=C\C2=C(C=CC=C2F)OC3=CC=CC=C3)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]4CCCN4C(=O)C)OP(=O)(O)O,670,Pubchem
