SMILE,Source,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,Pubchem,active,521.666,3.5568,2,8,8.585026652
CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1cncn1CCCCCCCCc1ccc(CCO)cc1)C(=O)N[C@@H](CO)C(=O)N[C@H](C(N)=O)[C@@H](C)OP(=O)(O)O,CHEMBL,active,907.016,0.5153,9,12,6.661543506
COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC,Pubchem,active,477.464,4.8009,1,7,8.698970004
COc1ccc(Nc2ncc3c(n2)-c2ccc(C(F)(F)F)cc2NC(=O)C3)cc1OC,CHEMBL,active,430.386,4.4178,2,6,7.744727495
Cn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3OC(F)(F)F)ncc1CC2,CHEMBL,active,404.352,2.7168,2,7,6.931814138
Cn1nc(C(N)=O)c2c1-c1nc(Nc3cc(N4CCNCC4)ccc3OC(F)(F)F)ncc1CC2,CHEMBL,active,488.474,2.1264,3,9,8.698970004
CN1CCN(c2ccc(OC(F)(F)F)c(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)[C@H](CO)C1,CHEMBL,active,532.527,1.8295,3,10,6.696803943
C[C@@H](Oc1cc(-n2cnc3cc(-c4ccnc(N)n4)ccc32)sc1C(N)=O)c1ccccc1C(F)(F)F,CHEMBL,active,524.528,5.3839,2,8,9
CC1=CC=C(C=C1)COC2=C(SC(=C2)N3C=NC4=CC=CC=C43)C(=O)N,Pubchem,active,363.442,4.07332,1,5,6.899629455
CN(C)CCCc1ccc(OC(F)(F)F)c(Nc2ncc3c(n2)-c2ccc(Cl)cc2NC(=S)C3)c1,CHEMBL,active,521.996,6.2288,2,6,8.15490196
C[C@@H](Oc1cc(-c2cnc3ccccn23)sc1C(N)=O)c1ccc(CO)cc1Cl,CHEMBL,active,427.913,4.4474,2,6,8.30980392
COc1cc2ncn(-c3cc(OCc4ccccc4OC(F)(F)F)c(C(N)=O)s3)c2cc1OC,CHEMBL,active,493.463,4.6807,1,8,8.301029996
CN1C2=C(CCC3=CN=C(N=C32)NC4=C(C=CC(=C4)N5CCN(CC5)CCCN(C)C)OC(F)(F)F)C(=N1)C(=O)N,Pubchem,active,573.624,2.7905,2,10,7.337242168
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc1ccc(Cl)c(Cl)c1)NC(C)=O)[C@@H](C)OP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(N)=O,CHEMBL,active,1635.519,-3.7578,19,21,7.105573162
CC1=C2C=NC(=NN2C(=N1)C3=CC(=CC=C3)Br)NC4=CC(=C(C(=C4)OC)OC)OC,Pubchem,active,470.327,4.63162,1,8,7.15490196
CN1CCN(CC1)C2=CC=C(C=C2)NC3=NC=C4C(=CN(C4=N3)C5=CC=CC(=N5)C6(COC6)F)F,Pubchem,active,477.519,3.645,1,8,7.619788758
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)N[C@H]4CC[C@H](N5CCN(CC6CC6)CC5)CC4)cc3OC)nc2N1C(C)C,CHEMBL,active,618.827,4.2672,2,9,9.060480747
CN1C2=C(CCC3=CN=C(N=C32)NC4=C(C=CC(=C4)NC5CCCN5)OC(F)(F)F)C(=N1)C(=O)N,Pubchem,active,488.474,2.8382,4,9,7.080921908
CN1CCN([C@@H](C1)CO)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=C4CCC5=C(C4=N3)N(N=C5C(=O)N)C,Pubchem,active,532.527,1.8295,3,10,6.696803943
Cn1cncc1-c1cc(OCc2ccccc2C(F)(F)F)c(C(N)=O)s1,CHEMBL,active,381.379,3.8453,1,5,6.366531544
CC[C@@H]1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C,Pubchem,active,521.666,3.5568,2,8,6.080921908
CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NCCN4CCN(C)CC4)cc3OCCO)nc2N1C1CCCC1,CHEMBL,active,580.734,2.0725,3,10,7.673459331
